Date,Base_Rate,Inflation,Year
1989-01-01,12.88,4.9,1989
1989-02-01,12.88,5.0,1989
1989-03-01,12.88,5.0,1989
1989-04-01,12.88,5.3,1989
1989-05-01,12.88,5.3,1989
1989-06-01,13.75,5.2,1989
1989-07-01,13.75,5.2,1989
1989-08-01,13.75,5.0,1989
1989-09-01,13.84,5.2,1989
1989-10-01,13.75,5.5,1989
1989-11-01,14.88,5.5,1989
1989-12-01,14.88,5.5,1989
1990-01-01,14.88,5.7,1990
1990-02-01,14.88,5.9,1990
1990-03-01,14.88,6.0,1990
1990-04-01,14.88,6.4,1990
1990-05-01,14.88,6.8,1990
1990-06-01,14.88,6.9,1990
1990-07-01,14.88,6.8,1990
1990-08-01,14.88,7.7,1990
1990-09-01,14.88,8.1,1990
1990-10-01,14.88,8.1,1990
1990-11-01,13.88,7.8,1990
1990-12-01,13.88,7.6,1990
1991-01-01,13.88,7.1,1991
1991-02-01,13.88,7.0,1991
1991-03-01,12.88,6.9,1991
1991-04-01,12.38,8.4,1991
1991-05-01,11.88,8.2,1991
1991-06-01,11.38,8.4,1991
1991-07-01,11.38,8.3,1991
1991-08-01,10.88,7.9,1991
1991-09-01,10.88,7.1,1991
1991-10-01,10.38,6.8,1991
1991-11-01,10.38,7.1,1991
1991-12-01,10.38,7.2,1991
1992-01-01,10.38,7.0,1992
1992-02-01,10.38,6.9,1992
1992-03-01,10.38,7.1,1992
1992-04-01,10.38,4.7,1992
1992-05-01,10.38,4.3,1992
1992-06-01,9.88,3.8,1992
1992-07-01,9.88,3.6,1992
1992-08-01,9.88,3.0,1992
1992-09-01,9.88,3.0,1992
1992-10-01,8.88,2.9,1992
1992-11-01,7.88,2.6,1992
1992-12-01,6.88,2.6,1992
1993-01-01,6.88,2.2,1993
1993-02-01,5.88,2.4,1993
1993-03-01,5.88,2.5,1993
1993-04-01,5.88,2.5,1993
1993-05-01,5.88,2.5,1993
1993-06-01,5.88,2.4,1993
1993-07-01,5.88,2.6,1993
1993-08-01,5.88,2.9,1993
1993-09-01,5.88,3.1,1993
1993-10-01,5.88,2.6,1993
1993-11-01,5.88,2.3,1993
1993-12-01,5.38,2.4,1993
1994-01-01,5.38,2.7,1994
1994-02-01,5.38,2.5,1994
1994-03-01,5.13,2.2,1994
1994-04-01,5.13,2.0,1994
1994-05-01,5.13,2.0,1994
1994-06-01,5.13,2.0,1994
1994-07-01,5.13,1.7,1994
1994-08-01,5.13,1.9,1994
1994-09-01,5.13,1.5,1994
1994-10-01,5.63,1.5,1994
1994-11-01,5.63,1.8,1994
1994-12-01,5.63,2.0,1994
1995-01-01,6.13,2.4,1995
1995-02-01,6.13,2.4,1995
1995-03-01,6.63,2.6,1995
1995-04-01,6.63,2.3,1995
1995-05-01,6.63,2.5,1995
1995-06-01,6.63,2.6,1995
1995-07-01,6.63,2.7,1995
1995-08-01,6.63,2.6,1995
1995-09-01,6.63,3.0,1995
1995-10-01,6.63,2.9,1995
1995-11-01,6.63,2.8,1995
1995-12-01,6.63,3.0,1995
1996-01-01,6.38,2.6,1996
1996-02-01,6.13,2.7,1996
1996-03-01,6.13,2.6,1996
1996-04-01,5.94,2.5,1996
1996-05-01,5.94,2.3,1996
1996-06-01,5.94,2.3,1996
1996-07-01,5.69,2.2,1996
1996-08-01,5.69,2.3,1996
1996-09-01,5.69,2.3,1996
1996-10-01,5.69,2.5,1996
1996-11-01,5.94,2.6,1996
1996-12-01,5.94,2.3,1996
1997-01-01,5.94,2.1,1997
1997-02-01,5.94,1.9,1997
1997-03-01,5.94,1.7,1997
1997-04-01,5.94,1.6,1997
1997-05-01,5.94,1.6,1997
1997-06-01,6.25,1.7,1997
1997-07-01,6.5,2.0,1997
1997-08-01,6.75,2.0,1997
1997-09-01,7.0,1.8,1997
1997-10-01,7.0,1.9,1997
1997-11-01,7.0,1.9,1997
1997-12-01,7.25,1.7,1997
1998-01-01,7.25,1.5,1998
1998-02-01,7.25,1.6,1998
1998-03-01,7.25,1.7,1998
1998-04-01,7.25,1.8,1998
1998-05-01,7.25,2.0,1998
1998-06-01,7.25,1.7,1998
1998-07-01,7.5,1.4,1998
1998-08-01,7.5,1.3,1998
1998-09-01,7.5,1.4,1998
1998-10-01,7.5,1.4,1998
1998-11-01,7.25,1.4,1998
1998-12-01,6.75,1.6,1998
1999-01-01,6.25,1.6,1999
1999-02-01,6.0,1.4,1999
1999-03-01,5.5,1.7,1999
1999-04-01,5.5,1.5,1999
1999-05-01,5.25,1.3,1999
1999-06-01,5.25,1.3,1999
1999-07-01,5.0,1.3,1999
1999-08-01,5.0,1.2,1999
1999-09-01,5.0,1.2,1999
1999-10-01,5.25,1.1,1999
1999-11-01,5.25,1.2,1999
1999-12-01,5.5,1.1,1999
2000-01-01,5.5,0.8,2000
2000-02-01,5.75,0.9,2000
2000-03-01,6.0,0.6,2000
2000-04-01,6.0,0.6,2000
2000-05-01,6.0,0.5,2000
2000-06-01,6.0,0.8,2000
2000-07-01,6.0,0.9,2000
2000-08-01,6.0,0.6,2000
2000-09-01,6.0,1.0,2000
2000-10-01,6.0,1.0,2000
2000-11-01,6.0,1.1,2000
2000-12-01,6.0,0.8,2000
2001-01-01,6.0,0.9,2001
2001-02-01,6.0,0.8,2001
2001-03-01,5.75,0.9,2001
2001-04-01,5.75,1.2,2001
2001-05-01,5.5,1.7,2001
2001-06-01,5.25,1.7,2001
2001-07-01,5.25,1.4,2001
2001-08-01,5.25,1.8,2001
2001-09-01,5.0,1.3,2001
2001-10-01,4.75,1.2,2001
2001-11-01,4.5,0.8,2001
2001-12-01,4.0,1.1,2001
2002-01-01,4.0,1.6,2002
2002-02-01,4.0,1.5,2002
2002-03-01,4.0,1.5,2002
2002-04-01,4.0,1.4,2002
2002-05-01,4.0,0.8,2002
2002-06-01,4.0,0.6,2002
2002-07-01,4.0,1.1,2002
2002-08-01,4.0,1.0,2002
2002-09-01,4.0,1.0,2002
2002-10-01,4.0,1.4,2002
2002-11-01,4.0,1.5,2002
2002-12-01,4.0,1.7,2002
2003-01-01,4.0,1.3,2003
2003-02-01,4.0,1.6,2003
2003-03-01,3.75,1.5,2003
2003-04-01,3.75,1.4,2003
2003-05-01,3.75,1.3,2003
2003-06-01,3.75,1.1,2003
2003-07-01,3.75,1.3,2003
2003-08-01,3.5,1.4,2003
2003-09-01,3.5,1.4,2003
2003-10-01,3.5,1.4,2003
2003-11-01,3.5,1.3,2003
2003-12-01,3.75,1.3,2003
2004-01-01,3.75,1.4,2004
2004-02-01,3.75,1.3,2004
2004-03-01,4.0,1.1,2004
2004-04-01,4.0,1.1,2004
2004-05-01,4.0,1.5,2004
2004-06-01,4.25,1.6,2004
2004-07-01,4.5,1.4,2004
2004-08-01,4.5,1.3,2004
2004-09-01,4.75,1.1,2004
2004-10-01,4.75,1.2,2004
2004-11-01,4.75,1.5,2004
2004-12-01,4.75,1.7,2004
2005-01-01,4.75,1.6,2005
2005-02-01,4.75,1.7,2005
2005-03-01,4.75,1.9,2005
2005-04-01,4.75,1.9,2005
2005-05-01,4.75,1.9,2005
2005-06-01,4.75,2.0,2005
2005-07-01,4.75,2.3,2005
2005-08-01,4.75,2.4,2005
2005-09-01,4.5,2.5,2005
2005-10-01,4.5,2.3,2005
2005-11-01,4.5,2.1,2005
2005-12-01,4.5,1.9,2005
2006-01-01,4.5,1.9,2006
2006-02-01,4.5,2.0,2006
2006-03-01,4.5,1.8,2006
2006-04-01,4.5,2.0,2006
2006-05-01,4.5,2.2,2006
2006-06-01,4.5,2.5,2006
2006-07-01,4.5,2.4,2006
2006-08-01,4.5,2.5,2006
2006-09-01,4.75,2.4,2006
2006-10-01,4.75,2.4,2006
2006-11-01,4.75,2.7,2006
2006-12-01,5.0,3.0,2006
2007-01-01,5.0,2.7,2007
2007-02-01,5.25,2.8,2007
2007-03-01,5.25,3.1,2007
2007-04-01,5.25,2.8,2007
2007-05-01,5.25,2.5,2007
2007-06-01,5.5,2.4,2007
2007-07-01,5.5,1.9,2007
2007-08-01,5.75,1.8,2007
2007-09-01,5.75,1.8,2007
2007-10-01,5.75,2.1,2007
2007-11-01,5.75,2.1,2007
2007-12-01,5.75,2.1,2007
2008-01-01,5.5,2.2,2008
2008-02-01,5.5,2.5,2008
2008-03-01,5.25,2.5,2008
2008-04-01,5.25,3.0,2008
2008-05-01,5.0,3.3,2008
2008-06-01,5.0,3.8,2008
2008-07-01,5.0,4.4,2008
2008-08-01,5.0,4.7,2008
2008-09-01,5.0,5.2,2008
2008-10-01,5.0,4.5,2008
2008-11-01,4.5,4.1,2008
2008-12-01,3.0,3.1,2008
2009-01-01,2.0,3.0,2009
2009-02-01,1.5,3.2,2009
2009-03-01,1.0,2.9,2009
2009-04-01,0.5,2.3,2009
2009-05-01,0.5,2.2,2009
2009-06-01,0.5,1.8,2009
2009-07-01,0.5,1.8,2009
2009-08-01,0.5,1.6,2009
2009-09-01,0.5,1.1,2009
2009-10-01,0.5,1.5,2009
2009-11-01,0.5,1.9,2009
2009-12-01,0.5,2.9,2009
2010-01-01,0.5,3.5,2010
2010-02-01,0.5,3.0,2010
2010-03-01,0.5,3.4,2010
2010-04-01,0.5,3.7,2010
2010-05-01,0.5,3.4,2010
2010-06-01,0.5,3.2,2010
2010-07-01,0.5,3.1,2010
2010-08-01,0.5,3.1,2010
2010-09-01,0.5,3.1,2010
2010-10-01,0.5,3.2,2010
2010-11-01,0.5,3.3,2010
2010-12-01,0.5,3.7,2010
2011-01-01,0.5,4.0,2011
2011-02-01,0.5,4.4,2011
2011-03-01,0.5,4.0,2011
2011-04-01,0.5,4.5,2011
2011-05-01,0.5,4.5,2011
2011-06-01,0.5,4.2,2011
2011-07-01,0.5,4.4,2011
2011-08-01,0.5,4.5,2011
2011-09-01,0.5,5.2,2011
2011-10-01,0.5,5.0,2011
2011-11-01,0.5,4.8,2011
2011-12-01,0.5,4.2,2011
2012-01-01,0.5,3.6,2012
2012-02-01,0.5,3.4,2012
2012-03-01,0.5,3.5,2012
2012-04-01,0.5,3.0,2012
2012-05-01,0.5,2.8,2012
2012-06-01,0.5,2.4,2012
2012-07-01,0.5,2.6,2012
2012-08-01,0.5,2.5,2012
2012-09-01,0.5,2.2,2012
2012-10-01,0.5,2.7,2012
2012-11-01,0.5,2.7,2012
2012-12-01,0.5,2.7,2012
2013-01-01,0.5,2.7,2013
2013-02-01,0.5,2.8,2013
2013-03-01,0.5,2.8,2013
2013-04-01,0.5,2.4,2013
2013-05-01,0.5,2.7,2013
2013-06-01,0.5,2.9,2013
2013-07-01,0.5,2.8,2013
2013-08-01,0.5,2.7,2013
2013-09-01,0.5,2.7,2013
2013-10-01,0.5,2.2,2013
2013-11-01,0.5,2.1,2013
2013-12-01,0.5,2.0,2013
2014-01-01,0.5,1.9,2014
2014-02-01,0.5,1.7,2014
2014-03-01,0.5,1.6,2014
2014-04-01,0.5,1.8,2014
2014-05-01,0.5,1.5,2014
2014-06-01,0.5,1.9,2014
2014-07-01,0.5,1.6,2014
2014-08-01,0.5,1.5,2014
2014-09-01,0.5,1.2,2014
2014-10-01,0.5,1.3,2014
2014-11-01,0.5,1.0,2014
2014-12-01,0.5,0.5,2014
2015-01-01,0.5,0.3,2015
2015-02-01,0.5,0.0,2015
2015-03-01,0.5,0.0,2015
2015-04-01,0.5,-0.1,2015
2015-05-01,0.5,0.1,2015
